Feedback,Name,Type,Song,Genres
"Hi Aspen Jade. Soft synths and ethereal vocals create an enveloping atmosphere, while the pulsating beat brings a subtle but constant energy. It's an emotional song that manages to balance the introspective with the danceable, standing out for its careful production and a catchy chorus. An ideal song for relaxed moments, but with a touch of dynamism.",Novasounds,Success,BEFORE,"Commercial / Mainstream, Dance music, Deep house, Drum and Bass, Dubstep, Electronica, Future house, Progressive / Melodic House & Techno, Tech House, Techno, Authentic, Catchy, Chill, Contemporary, Creative, Curious, Danceable, Dark, Offbeat, Downbeat, Dramatic, Eccentric, Eclectic, Energetic, Engaged, Experimental, Standard, Fusion, Good vibes, Groovy, Hardcore, Unique, Indie, Intense, Lo-fi, Meaningful lyrics, Mainstream, Melancholic, Melodic, Midtempo, Dreamy, Original, Positive, Provocative, Psychological, Relaxing, Romantic, Sensual, Simple, Subdued, Surprising, Tropical, Underground, Captivating, Upbeat, Weird"
"Hey, thanks for submitting your song. We love the vibes here and your production sounds also pretty nice so far. Unfortunately the song doesn’t match 100% to our playlists, so I’m afraid we have to pass this time. Thanks anyway and don’t hesitate to send us your next stuff. Keep up the good work.",PYRO Enterprises,Fail,BEFORE,"Dance music, Dance pop, Deep house, Funky / Jackin House, Future house, Hard Techno, Nu-disco, Progressive / Melodic House & Techno, Tech House, Techno, Authentic, Catchy, Contemporary, Creative, Danceable, Dark, Eclectic, Energetic, Engaged, Experimental, Standard, Good vibes, Groovy, Hardcore, Unique, Indie, Intense, Meaningful lyrics, Mainstream, Melancholic, Dreamy, Original, Positive, Provocative, Psychological, Relaxing, Romantic, Sensual, Simple, Surprising, Tropical, Underground, Captivating, Upbeat, Bass guitar, Beatmaker, Beats, Featuring, Covers, Demos, Explicit, Instrumental, Finished track, Drums, Piano, Professional production, Radio edit, Synths, Urban sounds, Available on Spotify, Composer, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hello Aspen. Nice track of yours, we will suggest it to our external partners as our record company operates only playlists for our in-house released tracks. Keep up the good work:)",Sound Best,Success,BEFORE,"Bass music, Dance music, Dance pop, Deep house, Electropop, Future house, House music, Progressive / Melodic House & Techno, Tech House, Trap, Catchy, Danceable, Energetic, Mainstream, Video clip, International potential, Strong social media presence, Young talent"
"Hey, thanks for sending over the track! The bass in the drop was sooo good and fitted perfectly with the vocal you used with stutter. The effects you used like stutter and the other elements made the track very good! Great work on the track!",Tiktok Techno Remixes,Success,BEFORE,"Acid house, Dance music, Deep house, Drum and Bass, Future house, Hard Techno, House music, Tech House, Techno"
"Thank you for sharing your track! The production is impressive, and the energy you’ve infused into the song is definitely engaging. However, it feels a bit too energetic for what we’re currently looking for. A slightly more subdued approach might align better with the vibe we need for our playlist. Keep up the great work—your talent is evident, and I’m excited to hear more from you in the future!",Rolipso,Fail,BEFORE,"Ambient, Chill out, Commercial / Mainstream, Dance music, Deep house, French house, House music, Instrumental, International pop, Singer songwriter, Catchy, Chill, Downbeat, Good vibes, Unique, Mainstream, Melancholic, Melodic, Dreamy, Original, Positive, Relaxing, Romantic, Sensual, Tropical, Acoustic guitar, Autotune, Bass guitar, Covers, Electric guitar, Electronic sounds, Radio edit, Remix, Synths, All supports, Available on Spotify, Composer"
"Thank you for your submission, but I'll take a pass on this. The vocals are nice but the beat doesn't quite stand out for me.",EDM Hunters,Fail,BEFORE,"Bass music, Chill out, Dance music, Disco, Drum and Bass, Dubstep, Electronica, Techno, Trance, Trip hop, Catchy, Danceable, Energetic, Groovy, Melodic, Dreamy, Original, Upbeat, Beats, Electronic sounds, Finished track, Professional production, Radio edit, Remix, Synths, Vocals, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hey, thanks for sending! Great song with a great melody! I love the vocal effects but overall it's a bit too dark for my lists that’s why I kindly have to pass this time but it’s a great song for sure :) All the best with the song, Sound Safari :)",Sound Safari,Fail,BEFORE,"Bass music, Dance music, Dance pop, Deep house, Future house, House music, International pop, Tech House, Good vibes, Mainstream, Melodic, Positive, Tropical, All supports, Available on Spotify"
"Hey, thanks for sending! Great vocal with a great production behind it! Great bassline but overall it's just a bit too dark that’s why I kindly have to pass this time but it’s a great song for sure :) All the best with the song, Deepium :)",Deepium,Fail,BEFORE,"Bass music, Dance music, Dance pop, Deep house, House music, International pop, Tech House, Techno, Chill, Danceable, Energetic, Good vibes, Groovy, Melodic, Dreamy, Positive, Tropical, Beats, Covers, Brass, Electric guitar, Electronic sounds, Finished track, Drums, Piano, Remix, Synths, Vocals, Available on Spotify, Early project"
"Salut Aspen merci pour la présentation et la découverte de ton second EP ""Before"", c'est avec plaisir que nous l'intégrerons très rapidement dans la playlist Clubbin'One dès vendredi prochain ! A bientôt sur Groover",Clubbin'One,Fail,BEFORE,"Beats / Lo-fi, Dance music, Deep house, Drum and Bass, Dubstep, Electronica, Electro swing, Experimental electronic, Future house, Hard Dance / Hardcore / Hardstyle, Eclectic, Energetic, Good vibes, Hardcore, Intense, Mainstream, Underground, Captivating, Upbeat, Beats, Covers, Demos, Electronic sounds, Finished track, Professional production, Remix, All supports, Urban sounds, Composer, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project"
You've been refunded 2 Grooviz!,Millennium Jazz Music,N/A,BEFORE,Empty link column
Please be patient! This curator/pro is reviewing all the tracks received,🇺🇸 Play at WITHLOVEFEST Showcase in NYC in September 2024,Fail,Obsessed,"Hip-hop, Indie pop, R&B, Urban pop"
"Hi. Thank you for sharing your song with me. I love your very beautiful relaxing musical accompaniment, everything sounds very beautiful and harmonious, your gentle voice weaves perfectly with the music and you have a unique penetrating delivery. Overall, the song is very beautiful. However, it sounds a bit soft and dreamy for my playlist, so I won't add it, sorry. I hope for your understanding. Take care and all the best to you!",INDIE AND POP MUSIC FOR YOUR DAY,Fail,Obsessed,"Alternative rock, Chill out, Electronica, Electropop, Hip-hop, Indie pop, R&B, Energetic, Indie, Positive, Electric guitar, Electronic sounds"
"Brilliant melody and vocals however we feel the overall vibe of the song is too electronic pop for our playlist. We focus on upbeat indie and electro pop similar to that of Kayden on our platform. Nevertheless, a great track.",Dreamy,Fail,Obsessed,"Chill / Lo-fi Hip-Hop, Chill out, Electropop, Hip-hop, Indie pop, Pop Punk, Pop rock, R&B, Chill, Indie, Electric guitar"
Really cool song! It perfectly matches our playlist. We're definitely adding it and we hope it will help you to generate loads of streams. Keep up the good work!,SnipSounds,Success,Obsessed,"Alternative rock, Commercial / Mainstream, Electronica, Hard Dance / Hardcore / Hardstyle, Hip-hop, Indie folk, Indie pop, Metal / Heavy metal, R&B, Trap, Authentic, Chill, Danceable, Energetic, Good vibes, Hardcore, Indie, Relaxing"
"Hi Aspen Jade, thanks for sharing your music with us. Your song ""Obsessed"" offers a nice Dance Pop type of sound. First I would like to highlight the chorus which is very well thought out and catchy. The instrumental is very good and the vocal performance is super accomplished as well. The production in general is good and it's a well done composition. Personally I wouldn't change anything, it's very good. But unfortunately I have to inform you that I won't be able to share your song because we are looking for more Indie Pop or Dream Pop projects with a more melancholic or dramatic mood and your song is more of a Dance Pop. Anyway we wish you a lot of success in your career and in your future releases. Best regards, Now Born Music",Now Born Music,Fail,Obsessed,"Dancehall / Reggaeton, Dream pop, Indie folk, Indie pop, International pop, Latin music, Latin Pop, Lofi bedroom, Trap, Urban pop, Chill, Dark, Downbeat, Dramatic, Indie, Lo-fi, Melancholic, Melodic, Autotune, Beats, Featuring, Covers, Electronic sounds, Explicit, Instrumental, Piano, Professional production, Remix, All supports, Urban sounds, Vocals, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Young talent"
"Hi, good vocal part and melodies we have in this song. But the drop part didn't get our eyes this time, so we have to pass on this. For next!",Summer in ibiza 2024,Fail,Obsessed,"Bass music, Commercial / Mainstream, Dance music, Deep house, Electronica, House music, Tech House, Techno, Catchy, Danceable, Eccentric, Eclectic, Energetic, Experimental, Good vibes, Groovy, Indie, Intense, Meaningful lyrics, Mainstream, Melodic, Positive, Provocative, Psychological, Simple, Underground, Captivating, Upbeat, Unplugged, Acoustic guitar, Autotune, Bass guitar, Beatmaker, Beats, Featuring, Covers, Brass, Demos, Electric guitar, Electronic sounds, Tests, Explicit, Freestyle, Instrumental, Live recording, Low fidelity, Finished track, Drums, Piano, Professional production, Radio edit, Remix, Strings, Sync-friendly, Synths, All supports, Urban sounds, Video clip, Vocals, Available on Spotify, Composer, Early project, On stage experience, International potential, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"hello aspen, this track is just a bit too light electronic sounding for my liking and what im sharing for the falling for the bad ones playlist or even tell me what you heard playlist or so, all the best!",Lost Panda,Fail,Obsessed,"Commercial / Mainstream, Dance pop, Dream pop, Electronica, Electropop, Indie pop, R&B, Singer songwriter, Chill, Dark, Melancholic, Dreamy, Romantic, All supports, Available on Spotify"
"Hi Aspen, thank you for the request. Nice work, it's a well written and produced track, congrats. Anyway, it sounds too far from my playlist targets (neo-classical music and indie folk acoustic songs). I'm passing this time, I'm sorry!",Leonardo Pruneti,Fail,Obsessed,"Indie folk, International pop, Neo / Modern Classical, Singer songwriter, Solo Piano, Catchy, Chill, Dark, Dramatic, Indie, Meaningful lyrics, Melancholic, Melodic, Dreamy, Positive, Relaxing, Romantic, Acoustic guitar, Piano, Vocals, Available on Spotify"
Great job on the vocal performance. Loved the synth production too. But the song was a bit too upbeat for our playlists.,LazyFrenzy,Fail,Obsessed,"Alternative rock, Cloud Rap / Hip Hop, Commercial / Mainstream, Dance music, Electropop, Indie pop, International pop, R&B, Shoegaze, Singer songwriter, Catchy, Contemporary, Groovy, Melodic, Sensual, Finished track"
https://open.spotify.com/playlist/0RnDsNP8WmkcmKaVTTUETB,New Sound Fan,N/A,Obsessed,"Alternative rock, Chill out, Electropop, Hip-hop, Indie rock, Pop rock, Pop soul, Rap in English, Singer songwriter, Trap, Authentic, Catchy, Chill, Contemporary, Creative, Curious, Danceable, Dark, Downbeat, Dramatic, Eccentric, Eclectic, Energetic, Engaged, Experimental, Standard, Fusion, Good vibes, Groovy, Unique, Indie, Intense, Lo-fi, Meaningful lyrics, Mainstream, Melancholic, Melodic, Midtempo, Dreamy, Original, Positive, Provocative, Relaxing, Romantic, Sensual, Simple, Subdued, Surprising, Tropical, Underground, Captivating, Upbeat, Weird, Unplugged, Acoustic guitar, Autotune, Bass guitar, Beatmaker, Beats, Featuring, Brass, Electric guitar, Electronic sounds, Explicit, Freestyle, Instrumental, Live recording, Finished track, Drums, Piano, Professional production, Radio edit, Remix, Sync-friendly, Synths, All supports, Urban sounds, Video clip, Vocals, Available on Spotify"
"Hi, A! Hope you're well :) Digging the clean and warm tone of the production! Beautiful voice and singing too! However, we won't be able to offer a placement this time as we felt the song to have been a tad too electronic and laid-back to suit us. We tend to go for a bit more acoustic-oriented songs, with some sort of groovy drums. So, would've wanted more acoustic drums to have matched us better. Close. Still a beautiful song, though. Best of luck and hopefully another time! <3",Zycix ☁️,Fail,Obsessed,"Commercial / Mainstream, Indie folk, Indie pop, Singer songwriter, Catchy, Chill, Contemporary, Creative, Downbeat, Energetic, Good vibes, Groovy, Indie, Meaningful lyrics, Melodic, Midtempo, Dreamy, Original, Positive, Relaxing, Simple, Captivating, Upbeat, Acoustic guitar, Bass guitar, Covers, Electric guitar, Instrumental, Finished track, Drums, Piano, Synths, Vocals, Available on Spotify"
"Hi Aspen, thanks for sending your track ""Obsessed"". This was a really pleasant surprise, such a nice and vibey track. Your vocals and especially the harmonies are great. The production is very tasteful and brings out the best in this song. In short, I'm a big fan. Even though I really like the track there's not much we can do for you right away since our record label and Spotify playlists are focused on Lofi and Ambient music. If you're looking for music marketing support (social ads, pitching, release management, content & format development) feel free to reach out since these are our main areas of expertise. Thanks for sending your track, keep it up and have a nice day!",Songscoop,Fail,Obsessed,"Alternative rock, Beats / Lo-fi, Chill / Lo-fi Hip-Hop, Commercial / Mainstream, Indie pop, Indie rock, International pop, Pop rock"
"Hey Aspen Jade, I just listened to ""Obsessed"" and wanted to share some thoughts with you. Your track has a catchy beat and your vocals are impressive. However, after careful consideration, I've decided that it doesn't quite align with the mood and theme I'm aiming for with my playlist. Please understand that this decision is subjective and doesn't diminish the quality of your work. Keep creating and sharing your music! Best regards, Jaimy",Tiktok june 2024 (Jaimy-Lynn),Fail,Obsessed,"Commercial / Mainstream, Dance music, Dance pop, Hip-hop, House music, Phonk, R&B, Urban pop, Catchy, Danceable, Mainstream"
"Thank you for your submission Aspen. Like the overall idea of the track as well as the idea of the instrumentation on the production end, love the soothing vibes on this one personally. Like the vocal texture as well, really unique to what we have heard recently. Sadly we really feel like the overall vocals could have been a bit more louder and upfront in the overall mix in our opinion. We really appreciate your submission but will very kindly have to pass on this one. All the best!",Chill Playlist | Chill Hits 2024,Fail,Obsessed,"Afrobeat / Afropop, Ambient, Chill / Lo-fi Hip-Hop, Chill out, Dance pop, Deep house, House music, K-pop / J-pop, Chill, Relaxing"
You've been refunded 4 Grooviz!,Forever Young,N/A,Obsessed,Empty link column
"Hey Aspen Jade ! Thanks for your sub, the track is very well produced and very emotional ! Love it ! Unfortunately, we will not be able to take the song. It is too far from what we currently looking for. More into Electro Chill stuff :) Have a great day and good luck with the promotion Pierre",Get The Sound,Fail,Obsessed,"Chill out, Dance music, Dance pop, Deep house, Electropop, Catchy, Chill, Good vibes, Tropical, Early project, Unsigned artist, Young talent"
"Hey guys, big thanks for sharing this tune! I love the professionalism and laidback vibes on this one, but I have to admit that personally I was missing a more catchy chorus hook on it... Hope this makes any sense and please don't hesitate to submit any new music in the future 😊",multicolor records,Fail,Obsessed,"Chill out, Dance music, Dance pop, Deep house, Disco, Electropop, House music, Indie pop, Nu-disco, Authentic, Chill, Contemporary, Creative, Eccentric, Eclectic, Energetic, Engaged, Good vibes, Groovy, Meaningful lyrics, Mainstream, Melancholic, Melodic, Midtempo, Dreamy, Positive, Relaxing, Romantic, Sensual, Tropical, Upbeat, Autotune, Beats, Featuring, Covers, Demos, Electric guitar, Electronic sounds, Instrumental, Finished track, Drums, Professional production, Radio edit, Remix, Synths, Composer, Early project, Unsigned artist, Upcoming project, Young talent"
"the artwork is amazing and we love your beautiful voice, but we have to decline the submission, instrumentally, it's lacking conviction. Good luck",Hey you found me :),Fail,Obsessed,Empty link column
"Hey there! I listened to your song, and I must say, your vocals are top-notch. You've got a great voice! However, in my opinion, the song seems to lack some additional elements that could make it truly stand out. Consider experimenting with different instruments or adding some catchy hooks to make it more memorable. Keep up the good work! :)",Love Songs 2023 💕,Fail,Obsessed,"Commercial / Mainstream, Dream pop, Electropop, Indie pop, Lofi bedroom, Pop soul, Progressive pop, R&B, Soul, Contemporary, Engaged, Unique, Meaningful lyrics, Romantic, Available on Spotify"
"Hi! I love this track, but unfortunately your song doesn't match the vibe of my playlist. I'm looking for songs with a more slow paced, classical, romantic in my feels type of vibe. I love your work though! All the best, Abbie",i don't care how long it takes,Fail,Obsessed,"Commercial / Mainstream, Dream pop, Indie pop, International pop, R&B, Urban pop, Catchy, Chill, Indie, Lo-fi, Meaningful lyrics, Romantic, Sensual"
Thanks for sharing Obsessed. You have a lovely voice and the production has a great sound. The song definitely fits the ambiance of driving in a sunset setting. I enjoyed the chorus and could see this song thriving in a coming of age film or on certain indie radio stations playlists. I would recommend reaching out to indie station managers with your track or music supervisors working on films that fit the genre of your type of music.,DanielBisla,Fail,Obsessed,"Alternative rock, Ambient, Chill out, Commercial / Mainstream, Film music, Indie Dance, Indie pop, Instrumental, Pop rock, R&B, Authentic, Catchy, Chill, Contemporary, Creative, Curious, Danceable, Offbeat, Downbeat, Dramatic, Eccentric, Eclectic, Energetic, Standard, Fusion, Good vibes, Groovy, Hardcore, Unique, Indie, Lo-fi, Mainstream, Melancholic, Melodic, Dreamy, Original, Relaxing, Romantic, Sensual, Simple, Subdued, Surprising, Tropical, Underground, Captivating, Upbeat, Weird, Acoustic guitar, Autotune, Bass guitar, Beatmaker, Beats, Featuring, Covers, Demos, Electronic sounds, Explicit, Instrumental, Live recording, Low fidelity, Finished track, Piano, Professional production, Radio edit, Remix, Strings, Sync-friendly, Synths, All supports, Urban sounds, Video clip, Vocals, Available on Spotify, BIPOC artist, Composer, Early project, On stage experience, Female artist, International potential, Male artist, Queer artist, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
You've been refunded 4 Grooviz!,"Justin Newsome (A&R, Casting, and Music Business Consulting)",N/A,Obsessed,Empty link column
"Hi Aspen, thank you for submitting your song. I agree that this does have California sunset vibes. It has great energy, and the bass is not overpowering which keeps it calm and relatable. I really like what you did with the mix. Nice work! I think this would be great for sync. Would love to work with you to get your song into film, TV and commercials. We will email you soon.",YTINIFNI PICTURES,N/A,Obsessed,"Afrobeat / Afropop, Commercial / Mainstream, Dance music, Film music, Hip-hop, Indie rock, Industrial music, Instrumental, Latin music, Pop Punk, Authentic, Energetic, Electronic sounds, Professional production, Sync-friendly, Composer, On stage experience, International potential, Strong social media presence, Unsigned artist"
Added to my Fifa Songs playlist!,Fifa Songs | +150k Followers,N/A,Obsessed,"Afrobeat / Afropop, Chill out, Dance music, Deep house, Disco, Dream pop, House music, Indie folk"
Thank you so much for sending to us this song.really nice chords.also synthesiser sounds are incredibly good. But the vocals can be more crisp. Good luck,TIEFBLIND,Fail,Obsessed,"Chill out, Dance music, Deep house, Electronica, Experimental electronic, Film music, Hip-hop, House music, Minimal, Techno, Authentic, Chill, Creative, Danceable, Dark, Downbeat, Energetic, Experimental, Good vibes, Groovy, Unique, Indie, Intense, Melancholic, Melodic, Dreamy, Positive, Relaxing, Simple, Underground, Upbeat, Acoustic guitar, Bass guitar, Beats, Electric guitar, Instrumental, Live recording, Drums, Piano, Remix, Strings, Synths"
"Hi Aspen Jade, Night Vibes Here! I've heard your song called ""Obsessed"" and after listening to your song, I have a few opinions, your vocals sound great, it sounds like it has a very regular melody, but there are a few things I have to consider. And I would like to apologize for not being able to add your song to my playlist titled ""Night Vibes"" because I don't think your song meets the criteria of my playlist, I think you need to add some more tonal elements to make it more interesting to the listener Thank you for sending your song to me, I really appreciate it, keep working and don't give up!",Night Vibes,Fail,Obsessed,"Beats / Lo-fi, Chill / Lo-fi Hip-Hop, Chill out, Film music, Indie folk, Chill, Dark, Downbeat, Good vibes, Lo-fi, Dreamy, Relaxing, Romantic, Acoustic guitar, Beats, Electric guitar, Available on Spotify"
"Bonjour, Musique électro Votre proposition est bien, c’est un style de musique électro qui est sympa de l’électro soft et mélodieuse. Votre morceau est sélectionné pour un passage sur nos différentes radios (sur les trois zones couvertes), nous vous diffuserons pendant 3 semaines à compter du téléchargement de votre morceau. La diffusion se fera dans la playlist générale de la radio et dans les émissions spéciales nouveaux talents. Merci",DYNAMYK,Success,Obsessed,"Chill out, Commercial / Mainstream, Dance music, Dance pop, Electronica, Film music, Pop rock, Trance, Chanson Française/Variété, Upcoming project, Young talent"
https://open.spotify.com/playlist/2wTyHjihNbUovf1uRE4GMh?si=e07758c64e8b4158,Add optional files,N/A,Obsessed,"Chill out, Dance music, Dance pop, Deep house, Indie pop"
"Thanks for sending this! I like the amposphere and sound choices. To be honest, the songwriting/melodies didn’t captivate me enough for a feature. Don’t get demotivated, I hear the high quality here. Keep up the good work!",Playlist été 2024/Summer 2024,Fail,Obsessed,"Chill out, Commercial / Mainstream, Dance music, Dance pop, Deep house, Electropop, House music, Chill, Danceable, Energetic, Good vibes, Melancholic, Melodic, Positive, Sensual, Tropical, Available on Spotify, Strong social media presence, Supported artist, Unsigned artist, Upcoming project, Young talent"
"Hey Aspen, Track is too long ,we need something shorter; else I'd support this one. We are looking to shorten tracks in our playlist. We want songs between 1:30-2:30 max Best, HMG",Outline Music | Lounge Hits Remixed & Sunset Drive,Fail,Obsessed,"Commercial / Mainstream, Dance music, Dance pop, House music, Danceable, Energetic, Good vibes, Intense, Mainstream, Professional production, Available on Spotify"
"Aspen Jade, “Just listened to ‘Obsessed,’ and the fusion of Electronic and Pop is captivating! Your track carries an entrancing and infectious energy. Well done!",Hit Music Group,Fail,Obsessed,"Chill out, Dream pop, Indie pop, International pop, Pop rock, Pop soul, R&B, Urban pop, Authentic, Chill, Creative, Dark, Downbeat, Good vibes, Unique, Indie, Intense, Dreamy, Relaxing, Sensual, Captivating, Acoustic guitar, Autotune, Bass guitar, Beats, Covers, Demos, Electric guitar, Piano, Strings, Vocals, Available on Spotify, Composer, Early project, International potential, Supported artist"
"Thank you for submitting your track. After careful consideration, we've found that the current genre and style of your song don't quite align with the thematic focus of our playlists because of it's energy. We appreciate your understanding and encourage you to keep exploring musical avenues.",chase atlantic hot vibes 😩,Fail,Obsessed,"Chill out, Dance music, Dance pop, Deep house, Holiday music, House music, Indie Dance, Progressive / Melodic House & Techno, Tech House, Techno, Chill, Good vibes, Original, Positive, Relaxing, Romantic, Sensual, Tropical, Acoustic guitar, Bass guitar, Covers, Demos, Electric guitar, Piano, Radio edit, Synths, Available on Spotify"
https://vm.tiktok.com/ZMMkMJSHT/,Spectrum Recordings,N/A,Obsessed,"Alternative rock, Commercial / Mainstream, Electropop, Indie folk, Indie pop, Indie rock, Pop rock, R&B, Available on Spotify"
